id_offre,titre,entreprise,ville,domaine,description,competences,duree_mois,remunere
OFF-074,Stage Onboarding,Carrière Conseil,Sousse,Ressources Humaines,L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH.,Gestion-des-Talents Formation Onboarding Évaluation-des-Compétences,5,Oui
OFF-075,Stage Technicien de Laboratoire,MedResearch Group,Ariana,Santé & Biologie,Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux.,Laboratoire Essais-Cliniques Santé Analyses Pharmacovigilance Contrôle-Qualité,5,Oui
OFF-076,Stagiaire Trésorerie,Fidelis Comptabilité,Sfax,Finance & Comptabilité,Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. La mission inclut la gestion de la trésorerie quotidienne et le suivi des flux de paiement sur SAP. Il assiste l'équipe d'audit dans la vérification des comptes et le contrôle des procédures internes. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société.,IFRS Fiscalité Excel Reporting Audit,5,Oui
OFF-077,Stage Développeur Web Full Stack,Medina Digital Labs,Ariana,Informatique & Web,Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes. Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme.,JavaScript Flutter PHP Spring-Boot,4,Oui
OFF-078,Assistant Gestion des Stocks,TransMed Sfax,Ariana,Logistique & Supply Chain,L'étudiant analyse les indicateurs de performance logistique et propose des axes d'amélioration. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers. Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises.,SAP Transport Import-Export Logistique,5,Oui
OFF-079,Stagiaire Métreur,Génie Civil Consulting,Nabeul,Génie Civil & BTP,Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier. Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton. Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux.,Métré AutoCAD Revit Structures Chantier Topographie,5,Oui
OFF-080,Stagiaire Relations Sociales,GRH Solutions,Monastir,Ressources Humaines,Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs.,Droit-du-Travail Gestion-des-Talents Évaluation-des-Compétences Formation Fiches-de-Poste,4,Oui
OFF-081,Stage Administrateur Systèmes et Réseaux,Carthage Software,Ariana,Informatique & Web,Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL. Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. Le candidat contribue aux revues de code et aux tests unitaires afin d'assurer la qualité du logiciel livré.,Spring-Boot Java PHP Node.js Git Docker,2,Oui
OFF-082,Stage Biologie Moléculaire,PharmaCare Monastir,Sousse,Santé & Biologie,Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance. Il participe à la gestion des équipements de laboratoire et au respect des normes sanitaires.,Essais-Cliniques Analyses Protocoles Pharmacovigilance Diagnostics Laboratoire,2,Oui
OFF-083,Stage Biologie Moléculaire,MedResearch Group,Ariana,Santé & Biologie,Le stage porte sur le suivi des patients dans le cadre d'essais cliniques encadrés par un médecin référent. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Microbiologie Biologie-Moléculaire Analyses Diagnostics,2,Non
OFF-084,Assistant Diagnostic Médical,Analyse Plus Sousse,Sousse,Santé & Biologie,Il participe à la gestion des équipements de laboratoire et au respect des normes sanitaires. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Protocoles Essais-Cliniques Microbiologie Biologie-Moléculaire Contrôle-Qualité,3,Non
OFF-085,Stagiaire Contrôle Qualité BTP,Structura Sfax,Monastir,Génie Civil & BTP,Il contribue à la rédaction des rapports de chantier et au suivi de l'avancement des ouvrages. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé. L'étudiant assiste le conducteur de travaux dans la coordination des équipes sur le chantier. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment.,Structures Béton-Armé Ouvrages Plans,5,Non
OFF-086,Stage Ingénieur BTP Chantier,ArchiTech Tunis,Sousse,Génie Civil & BTP,Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier.,Plans Topographie Métré Structures,6,Oui
OFF-087,Auditeur Junior,Fidelis Comptabilité,Sousse,Finance & Comptabilité,Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie.,Excel Fiscalité Reporting SAP,5,Oui
OFF-088,Développeur API REST Junior,SoftWave Technologies,Nabeul,Informatique & Web,Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme. Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique.,PHP Linux Symfony React Kubernetes SQL,5,Oui
OFF-089,Stagiaire Gestion des Talents,PeopleFirst Group,à distance,Ressources Humaines,Le stagiaire rédige des fiches de poste et présélectionne des candidats pour les entretiens de recrutement. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Évaluation-des-Compétences SIRH Recrutement Onboarding Droit-du-Travail Paie,6,Non
OFF-090,Stage Planification Transport,Tunisair Logistique,Sfax,Logistique & Supply Chain,Il assiste le service achats dans la négociation avec les fournisseurs et le suivi des commandes. Le stage porte sur la coordination de la chaîne d'approvisionnement de bout en bout. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP.,SAP Entrepôt Logistique Import-Export Supply-Chain,6,Non
OFF-091,assistant marketing automation,Digital Boost Agency,Tunis,Marketing & Digital,Il gère les réseaux sociaux de la marque et planifie un calendrier éditorial de contenu engageant. Il contribue au positionnement de la marque et à la définition de la stratégie de branding. Le stage porte sur le suivi des indicateurs de croissance et l'animation de la communauté en ligne.,Google-Ads Marketing-Automation SEO Canva Community-Management,2,Non
OFF-092,Chargé de Communication Junior,Clickers Marketing,Nabeul,Marketing & Digital,La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants. Le stage porte sur le suivi des indicateurs de croissance et l'animation de la communauté en ligne. Il contribue au positionnement de la marque et à la définition de la stratégie de branding.,Emailing Branding Google-Ads Copywriting SEA,,
OFF-093,Stagiaire QA Testeur Logiciel,Medina Digital Labs,Ariana,Informatique & Web,Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique.,Git PHP API-REST CI/CD JavaScript React,2,Oui
OFF-094,Stagiaire Comptable,Bilan Expert,Nabeul,Finance & Comptabilité,Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. La mission inclut la gestion de la trésorerie quotidienne et le suivi des flux de paiement sur SAP.,Excel Fiscalité Reporting Analyse-Financière,6,Oui
OFF-095,Stagiaire Relations Sociales,GRH Solutions,Ariana,Ressources Humaines,L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Il participe à la gestion des relations sociales et au suivi des dossiers du personnel. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Droit-du-Travail Évaluation-des-Compétences Formation Gestion-des-Talents Onboarding Entretiens,5,Oui
OFF-096,Assistant Diagnostic Médical,Pharmalab Tunisie,Nabeul,Santé & Biologie,Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux. Il contribue au contrôle qualité des échantillons et à la validation des méthodes d'analyse. La mission inclut des manipulations de biologie moléculaire et l'interprétation de diagnostics médicaux. Il participe à la gestion des équipements de laboratoire et au respect des normes sanitaires.,Microbiologie Contrôle-Qualité Analyses Santé Diagnostics,5,Oui
OFF-097,Stagiaire Gestion des Talents,GRH Solutions,Nabeul,Ressources Humaines,La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences.,Fiches-de-Poste Droit-du-Travail Recrutement Formation Évaluation-des-Compétences Paie,4,Non
OFF-098,Stagiaire Paie,Recruta Sfax,Sousse,Ressources Humaines,Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs. Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH. Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes.,Gestion-des-Talents Formation Évaluation-des-Compétences Onboarding Droit-du-Travail,4,Non
OFF-099,stage développeur web full stack,PixelForge Sousse,à distance,Informatique & Web,Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique. Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes.,Flutter Symfony Node.js SQL,5,Non
OFF-100,Stage Ingénieur IA,NeuralTech Sfax,Sfax,Data & IA,Il implémente des algorithmes de Naive Bayes et de régression logistique pour prédire des variables métier. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score.,TF-IDF Régression-Logistique TensorFlow PyTorch,6,Oui
OFF-101,Assistant SIRH,GRH Solutions,Ariana,Ressources Humaines,La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs. Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs.,Recrutement Paie Entretiens Formation Droit-du-Travail Gestion-des-Talents,4,Oui
OFF-102,Stagiaire Développeur Frontend React,CloudNet Systèmes,à distance,Informatique & Web,Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique. Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git.,Spring-Boot SQL Java React,3,Non
OFF-103,Stage Ingénieur IA,InsightCube,Monastir,Data & IA,Il implémente des algorithmes de Naive Bayes et de régression logistique pour prédire des variables métier. Il développe des modèles de deep learning avec TensorFlow et PyTorch pour des tâches de vision par ordinateur.,SQL Deep-Learning Machine-Learning TF-IDF Python,3,Non
OFF-104,Stagiaire Analyses Biomédicales,Pharmalab Tunisie,Sousse,Santé & Biologie,L'étudiant effectue des tests de microbiologie et consigne les résultats dans les registres du laboratoire. Il participe à la gestion des équipements de laboratoire et au respect des normes sanitaires. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Santé Laboratoire Contrôle-Qualité Protocoles Essais-Cliniques,,Oui
OFF-105,Stagiaire Contrôle Qualité BTP,Génie Civil Consulting,Sousse,Génie Civil & BTP,Il contribue à la rédaction des rapports de chantier et au suivi de l'avancement des ouvrages. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé.,Structures Sécurité Métré Génie-Civil Ouvrages Topographie,2,Oui
OFF-106,Stagiaire Ingénieur Machine Learning,DataVision Tunisie,Sousse,Data & IA,Il implémente des algorithmes de Naive Bayes et de régression logistique pour prédire des variables métier. Le stage porte sur le déploiement de modèles en production via des pratiques MLOps et Spark.,Python Naive-Bayes Spark TensorFlow NLP Régression-Logistique,6,Oui
OFF-107,Stagiaire Développeur Frontend React,Numera Tunisie,Monastir,Informatique & Web,Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL. Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git.,SQL PHP Node.js Docker Spring-Boot Symfony,6,Oui
OFF-108,chargé de recrutement junior,GRH Solutions,Monastir,Ressources Humaines,L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs. Il participe à la gestion des relations sociales et au suivi des dossiers du personnel.,Fiches-de-Poste Entretiens Formation Droit-du-Travail SIRH Recrutement,4,Non
OFF-109,Développeur Backend Junior,Tech Solutions Tunisie,Nabeul,Informatique & Web,Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. Le stagiaire participera au développement d'applications web en JavaScript et React sous la supervision de l'équipe technique. L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure.,Kubernetes CI/CD Linux Symfony PHP,2,Oui
OFF-110,Assistant Import Export,Tunisair Logistique,Tunis,Logistique & Supply Chain,Il participe au suivi des délais de livraison et à la résolution des incidents de transport. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP.,Transport Planification Logistique Gestion-de-Stocks,5,Oui
OFF-111,Développeur Backend Junior,Byte Factory,Monastir,Informatique & Web,La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes. Il est chargé de corriger les bugs remontés en production et de documenter le code source sur Git. L'étudiant participe à la maintenance des serveurs Linux et à l'administration réseau de l'infrastructure. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL.,SQL Java PHP Flutter,4,Oui
OFF-112,STAGIAIRE CONTRÔLE QUALITÉ PHARMACEUTIQUE,PharmaCare Monastir,Nabeul,Santé & Biologie,Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux. Il participe au suivi des essais cliniques et à la collecte des données de pharmacovigilance. Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique.,Protocoles Essais-Cliniques Analyses Pharmacovigilance,3,Non
OFF-113,Stagiaire Brand Manager,MediaPulse Tunisie,Sfax,Marketing & Digital,Il analyse les performances des campagnes via Google Analytics et propose des optimisations budgétaires. La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants. L'étudiant participe à la mise en place de scénarios d'emailing et de marketing automation. Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence.,Google-Ads SEO Branding SEA Community-Management Copywriting,2,
OFF-114,Stage Chargé de Marketing Digital,BrandCraft Tunis,Monastir,Marketing & Digital,L'étudiant participe à la mise en place de scénarios d'emailing et de marketing automation. Il analyse les performances des campagnes via Google Analytics et propose des optimisations budgétaires.,Copywriting Community-Management Réseaux-Sociaux Analytics,3,Oui
OFF-115,STAGE CONTENT MANAGER,Clickers Marketing,Ariana,Marketing & Digital,Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence. Le stage porte sur le suivi des indicateurs de croissance et l'animation de la communauté en ligne. Il contribue au positionnement de la marque et à la définition de la stratégie de branding. La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants.,Analytics SEA Réseaux-Sociaux Emailing,6,Oui
OFF-116,Analyste Crédit Junior,Maghreb Audit Group,Sfax,Finance & Comptabilité,Il prépare des rapports de reporting financier mensuel destinés à la direction générale. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise. Le stage porte sur le contrôle de gestion budgétaire et le suivi des écarts entre prévisions et réalisations.,Fiscalité IFRS Comptabilité Contrôle-de-Gestion Reporting,5,Oui
OFF-117,Chargé RH Junior,GRH Solutions,à distance,Ressources Humaines,Le stagiaire rédige des fiches de poste et présélectionne des candidats pour les entretiens de recrutement. Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes. Il participe à la gestion des relations sociales et au suivi des dossiers du personnel. Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH.,Évaluation-des-Compétences Onboarding SIRH Fiches-de-Poste,6,Oui
OFF-118,Stage Coordinateur Entrepôt,Entrepôt Central Tunis,Sfax,Logistique & Supply Chain,Le stage porte sur la coordination de la chaîne d'approvisionnement de bout en bout. Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises. Le stagiaire optimise la gestion des stocks et suit les niveaux d'approvisionnement sur SAP. Il participe à la planification des transports et à la coordination des livraisons entre entrepôts.,Approvisionnement SAP Logistique Import-Export,6,Oui
OFF-119,Stagiaire Comptable,Capital Invest Tunis,Tunis,Finance & Comptabilité,Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. Le stage porte sur le contrôle de gestion budgétaire et le suivi des écarts entre prévisions et réalisations.,Bilan Audit IFRS Trésorerie,3,Non
OFF-120,Chargé de Recrutement Junior,HR Partners Tunis,Nabeul,Ressources Humaines,L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs. Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH.,Droit-du-Travail SIRH Paie Formation Fiches-de-Poste,3,Oui
OFF-121,Stagiaire Métreur,ArchiTech Tunis,Sousse,Génie Civil & BTP,Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. L'étudiant assiste le conducteur de travaux dans la coordination des équipes sur le chantier.,AutoCAD Plans Sécurité Revit,6,Oui
OFF-122,Stage Technicien de Laboratoire,Analyse Plus Sousse,à distance,Santé & Biologie,Le stagiaire réalise des analyses en laboratoire et applique les protocoles de contrôle qualité pharmaceutique. Il assiste l'équipe de recherche clinique dans la rédaction des protocoles expérimentaux.,Microbiologie Santé Protocoles Analyses Contrôle-Qualité,2,Oui
OFF-123,Analyste Crédit Junior,Portefeuille Plus,Nabeul,Finance & Comptabilité,La mission inclut la gestion de la trésorerie quotidienne et le suivi des flux de paiement sur SAP. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise.,Contrôle-de-Gestion Trésorerie Bilan Comptabilité Audit,3,Oui
OFF-124,Assistant Import Export,LogiTrans Sousse,à distance,Logistique & Supply Chain,Le stage porte sur la coordination de la chaîne d'approvisionnement de bout en bout. Il participe à la planification des transports et à la coordination des livraisons entre entrepôts.,Entrepôt Planification Approvisionnement Transport Import-Export,4,Oui
OFF-125,Stage Vision par Ordinateur,NeuralTech Sfax,Sousse,Data & IA,Le stage porte sur le déploiement de modèles en production via des pratiques MLOps et Spark. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score. L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL. Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes.,Power-BI Régression-Logistique Pandas TensorFlow,3,Oui
OFF-126,Ingénieur Structures Junior,Carthage Construction,Nabeul,Génie Civil & BTP,Il participe aux relevés topographiques et à la vérification des fondations avant coulage du béton. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé. L'étudiant assiste le conducteur de travaux dans la coordination des équipes sur le chantier.,AutoCAD Ouvrages Génie-Civil Métré,6,Oui
OFF-127,Stagiaire Contrôle Qualité BTP,Structura Sfax,Sousse,Génie Civil & BTP,La mission inclut le contrôle qualité sur site et le respect des normes de sécurité du chantier. Le stage porte sur le suivi budgétaire des travaux et la gestion des approvisionnements en matériaux. Il utilise AutoCAD et Revit pour la conception des plans techniques et des structures du bâtiment. Le stagiaire assure le suivi de chantier et vérifie la conformité des plans de structures en béton armé.,Plans Suivi-de-Travaux Ouvrages Topographie Béton-Armé Métré,3,Oui
OFF-128,stagiaire relations sociales,PeopleFirst Group,Monastir,Ressources Humaines,Il accompagne le processus d'onboarding des nouveaux employés et prépare les documents administratifs. L'étudiant assiste aux entretiens de recrutement et rédige des comptes rendus d'évaluation des compétences. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Formation SIRH Paie Évaluation-des-Compétences Recrutement Droit-du-Travail,3,Non
OFF-129,Analyste Supply Chain Junior,TransMed Sfax,Monastir,Logistique & Supply Chain,La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers. L'étudiant analyse les indicateurs de performance logistique et propose des axes d'amélioration.,Supply-Chain Logistique Import-Export Entrepôt,3,Oui
OFF-130,Chargé RH Junior,Carrière Conseil,Nabeul,Ressources Humaines,Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Formation Droit-du-Travail Fiches-de-Poste Évaluation-des-Compétences SIRH,,Oui
OFF-131,Chargé de Recrutement Junior,GRH Solutions,Monastir,Ressources Humaines,Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes. Il participe à la gestion des talents et au suivi des plans de formation des collaborateurs. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Droit-du-Travail Paie Gestion-des-Talents Évaluation-des-Compétences SIRH Recrutement,4,Oui
OFF-132,chargé de communication junior,MediaPulse Tunisie,Sfax,Marketing & Digital,Le stagiaire élabore des campagnes SEO et SEA pour améliorer la visibilité des clients sur Google Ads. Il contribue au positionnement de la marque et à la définition de la stratégie de branding. Il analyse les performances des campagnes via Google Analytics et propose des optimisations budgétaires.,Content-Marketing SEO Community-Management SEA Copywriting,3,Oui
OFF-133,Stagiaire Ingénieur Logiciel,Numera Tunisie,Monastir,Informatique & Web,Le candidat contribue aux revues de code et aux tests unitaires afin d'assurer la qualité du logiciel livré. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL. Il conçoit et implémente des API REST en Node.js et Symfony pour les modules internes de la plateforme.,Kubernetes API-REST CI/CD Docker PHP SQL,5,Oui
OFF-134,responsable flux junior,TransMed Sfax,Sousse,Logistique & Supply Chain,Il contribue à l'organisation de l'entrepôt et à l'optimisation des flux de marchandises. La mission inclut le suivi des opérations d'import export et la gestion des documents douaniers.,Transport Supply-Chain Optimisation-des-Flux Approvisionnement,5,Oui
OFF-135,Stagiaire Ingénieur Machine Learning,Numerix AI,Nabeul,Data & IA,Le stage porte sur le déploiement de modèles en production via des pratiques MLOps et Spark. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score. Il développe des modèles de deep learning avec TensorFlow et PyTorch pour des tâches de vision par ordinateur.,PyTorch Deep-Learning Scikit-learn TensorFlow TF-IDF Power-BI,3,Oui
OFF-136,Stage Analyste Financier,Sfax Finance Consulting,Tunis,Finance & Comptabilité,Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. Il assiste l'équipe d'audit dans la vérification des comptes et le contrôle des procédures internes. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise.,Audit Trésorerie SAP Analyse-Financière Contrôle-de-Gestion,6,Oui
OFF-137,Analyste Marketing Junior,Clickers Marketing,Tunis,Marketing & Digital,La mission inclut la création de contenus visuels sur Canva et la rédaction de textes publicitaires percutants. Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence. Le stage porte sur le suivi des indicateurs de croissance et l'animation de la communauté en ligne. Il analyse les performances des campagnes via Google Analytics et propose des optimisations budgétaires.,Copywriting SEA Content-Marketing Marketing-Automation,5,Oui
OFF-138,Stagiaire Ingénieur Logiciel,Medina Digital Labs,Sfax,Informatique & Web,Le candidat contribue aux revues de code et aux tests unitaires afin d'assurer la qualité du logiciel livré. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL.,JavaScript API-REST React Spring-Boot Flutter CI/CD,6,Oui
OFF-139,Stagiaire Reporting Financier,Sfax Finance Consulting,Sousse,Finance & Comptabilité,L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il contribue à l'analyse de portefeuille d'investissement et à l'évaluation des risques financiers. Il prépare des rapports de reporting financier mensuel destinés à la direction générale. La mission inclut la gestion de la trésorerie quotidienne et le suivi des flux de paiement sur SAP.,Bilan Analyse-Financière Trésorerie Fiscalité Excel,3,Oui
OFF-140,Analyste Crédit Junior,Sfax Finance Consulting,Sousse,Finance & Comptabilité,Le stage porte sur le contrôle de gestion budgétaire et le suivi des écarts entre prévisions et réalisations. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Le stagiaire participe à l'établissement du bilan et à l'analyse des ratios financiers de l'entreprise.,Excel Audit Bilan IFRS Reporting,5,Oui
OFF-141,STAGE FISCALITÉ ET COMPTABILITÉ,Maghreb Audit Group,Sfax,Finance & Comptabilité,L'étudiant participe au calcul de la fiscalité et à la déclaration des impôts de la société. Il utilise Excel avancé pour construire des modèles financiers et des tableaux de bord de trésorerie. Il prépare des rapports de reporting financier mensuel destinés à la direction générale.,Audit Excel Analyse-Financière Fiscalité Comptabilité Bilan,6,Oui
OFF-142,stagiaire développeur frontend react,PixelForge Sousse,Tunis,Informatique & Web,Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL. La mission inclut la mise en place de pipelines CI/CD et la conteneurisation des services avec Docker et Kubernetes.,SQL Docker Git React,,Oui
OFF-143,Stage Onboarding,Recruta Sfax,Ariana,Ressources Humaines,Il contribue à l'organisation de sessions de formation interne et au suivi des indicateurs RH. Le stagiaire rédige des fiches de poste et présélectionne des candidats pour les entretiens de recrutement. Le stage porte sur la veille en droit du travail et la mise à jour des procédures internes. La mission inclut le traitement de la paie mensuelle et la mise à jour du logiciel SIRH.,Évaluation-des-Compétences Formation Onboarding Droit-du-Travail Recrutement,2,Oui
OFF-144,Assistant Chef de Produit Marketing,Digital Boost Agency,Ariana,Marketing & Digital,Il assiste le chef de produit dans le lancement de nouvelles offres et l'étude de la concurrence. Il analyse les performances des campagnes via Google Analytics et propose des optimisations budgétaires. L'étudiant participe à la mise en place de scénarios d'emailing et de marketing automation. Il contribue au positionnement de la marque et à la définition de la stratégie de branding.,Canva Copywriting Emailing Community-Management Marketing-Automation,3,Non
OFF-145,stagiaire ingénieur logiciel,Carthage Software,Nabeul,Informatique & Web,Le stage porte sur le développement mobile multiplateforme avec Flutter et l'intégration de services cloud. Il travaille sur l'architecture backend en Java Spring Boot et la gestion des bases de données SQL.,Node.js Spring-Boot Kubernetes JavaScript Symfony Java,2,Oui
OFF-146,Data Scientist Junior,Predictis Tunisie,à distance,Data & IA,Il travaille sur des techniques de TF-IDF et de traitement du langage naturel pour l'analyse de textes. La mission consiste à construire des pipelines de features et à évaluer les modèles via precision recall et F1-score. L'étudiant conçoit des tableaux de bord Power BI à partir de données extraites en SQL.,PyTorch Deep-Learning Python Naive-Bayes TensorFlow Pandas,3,Non
